Date,Open,High,Low,Close
10/01/2018 7:10,1.20094,1.20163,1.20064,1.20069
10/01/2018 7:15,1.20068,1.20083,1.20037,1.20043
10/01/2018 7:20,1.20044,1.201,1.2004,1.20096
10/01/2018 7:25,1.20098,1.20156,1.20097,1.20106
10/01/2018 7:30,1.20108,1.20138,1.20078,1.20081
10/01/2018 7:35,1.20082,1.20105,1.20061,1.20072
10/01/2018 7:40,1.20075,1.20078,1.20053,1.20063
10/01/2018 7:45,1.20062,1.20079,1.20051,1.20059
10/01/2018 7:50,1.2006,1.20068,1.19978,1.19982
10/01/2018 7:55,1.19982,1.20017,1.19956,1.19978
10/01/2018 8:00,1.19979,1.1998,1.19911,1.19912
10/01/2018 8:05,1.19912,1.1998,1.19912,1.19949
10/01/2018 8:10,1.19951,1.19954,1.19902,1.19915
10/01/2018 8:15,1.19914,1.19961,1.19907,1.19956
10/01/2018 8:20,1.19954,1.19997,1.19934,1.19994
10/01/2018 8:25,1.19995,1.19998,1.1997,1.19991
10/01/2018 8:30,1.1999,1.20024,1.19937,1.19978
10/01/2018 8:35,1.19977,1.20011,1.1996,1.20002
10/01/2018 8:40,1.20002,1.20026,1.19936,1.19938
10/01/2018 8:45,1.19939,1.19965,1.19923,1.19937
10/01/2018 8:50,1.19936,1.19944,1.19903,1.19916
10/01/2018 8:55,1.19915,1.19956,1.19899,1.19949
10/01/2018 9:00,1.19947,1.20019,1.19936,1.20004
10/01/2018 9:05,1.20001,1.20025,1.19964,1.1998
10/01/2018 9:10,1.1998,1.20039,1.19967,1.20035
10/01/2018 9:15,1.20035,1.2007,1.20007,1.2004
10/01/2018 9:20,1.20037,1.2004,1.19981,1.19982
10/01/2018 9:25,1.19985,1.20005,1.19947,1.19962
10/01/2018 9:30,1.19962,1.19962,1.19845,1.19863
10/01/2018 9:35,1.19864,1.19874,1.19768,1.19805
10/01/2018 9:40,1.19804,1.1982,1.1973,1.19783
10/01/2018 9:45,1.19783,1.19828,1.19782,1.19825
10/01/2018 9:50,1.19827,1.1987,1.19824,1.19849
10/01/2018 9:55,1.19849,1.19873,1.1984,1.19857
10/01/2018 10:00,1.19857,1.19907,1.19842,1.19878
10/01/2018 10:05,1.19877,1.19916,1.19849,1.19916
10/01/2018 10:10,1.19919,1.19961,1.1991,1.19918
10/01/2018 10:15,1.19919,1.19941,1.19902,1.19906
10/01/2018 10:20,1.19907,1.19933,1.19886,1.19891
10/01/2018 10:25,1.1989,1.19914,1.19867,1.1988
10/01/2018 10:30,1.19881,1.19882,1.19817,1.19838
10/01/2018 10:35,1.19837,1.19852,1.19783,1.19786
10/01/2018 10:40,1.19785,1.19827,1.19771,1.19796
10/01/2018 10:45,1.19797,1.19849,1.19797,1.19824
